k,n,d,var,dim,NNPerf,KMeans,Simple,mproj rand,mproj avg,KMeans Time,SimpleTime,mproj rand Time,mproj avg Time
30,10000,5000,0.3,24,1,0.8333333,0.7,0.96666664,1,1.5548693,1.1748627,3.181466,2.9053156
30,10000,5000,0.4,24,1,0.93333334,0.7,0.96666664,0.9,1.556337,0.9380613,2.9299002,2.6231937
30,10000,5000,0.5,24,1,0.93333334,0.7,1,0.96666664,1.2757393,0.8700353,3.738897,2.5552523
30,10000,5000,0.6,24,1,0.93333334,0.76666665,0.93333334,1,1.390484,1.017915,3.2970078,2.5611866
30,10000,5000,0.7,24,1,1,0.6,0.93333334,0.96666664,1.4189405,0.85566396,2.8391967,2.7188423
30,10000,5000,0.8,24,1,0.93333334,0.6333333,0.93333334,1,1.4749525,0.8301402,2.718838,2.664159
30,10000,5000,0.9,24,1,1,0.6666667,0.9,0.9,1.439347,0.9450409,3.0007808,2.5953934
30,10000,5000,1,24,1,0.96666664,0.6333333,0.9,0.9,1.458967,0.92658,2.943441,2.6754918
30,10000,5000,1.1,24,1,0.96666664,0.6666667,1,0.96666664,1.7991899,0.90490353,2.8066876,2.6172097
30,10000,5000,1.2,24,1,0.93333334,0.56666666,0.93333334,0.96666664,2.1106145,0.9420898,2.8719487,2.8340123
30,10000,5000,1.3,24,1,0.8398398,0.7,0.93333334,0.96666664,2.3876898,0.8492923,2.7983074,2.5722115
30,10000,5000,1.4,24,1,0.7667668,0.6,1,1,2.4917064,0.90865815,3.1590908,2.6178951
30,10000,5000,1.5,24,1,0.7389389,0.73333335,0.9,0.96666664,2.3643055,0.9863504,2.8686585,2.8331728
30,10000,5000,1.6,24,1,0.66936934,0.56666666,0.96666664,0.96666664,2.2940319,0.8932308,2.8918922,2.6474133
30,10000,5000,1.7,24,1,0.7087087,0.6666667,0.9996997,0.96666664,2.4728353,0.91273564,2.9394345,2.6498406
30,10000,5000,1.8,24,1,0.5878879,0.63293296,0.86596596,0.96666664,2.1282654,1.3587415,3.5940342,3.1756837
30,10000,5000,1.9,24,1,0.613013,0.6994995,0.92682683,0.96666664,1.7970299,0.85251886,3.4628515,2.5388913
30,10000,5000,2,24,1,0.5133133,0.6276276,0.9499499,0.96666664,2.1066709,0.87211,3.1098936,2.7385347
30,10000,5000,2.1,24,1,0.48068067,0.55345345,0.87197196,0.9,2.2178426,0.87567127,2.8080118,2.7331538
30,10000,5000,2.2,24,1,0.47297296,0.55515516,0.9379379,0.9103103,1.7776368,0.8502144,3.936906,2.737512
30,10000,5000,2.3,24,1,0.44054055,0.6783784,0.8768769,0.8238238,2.1001563,0.8852288,2.9055593,2.5507984
30,10000,5000,2.4,24,1,0.37307307,0.5867868,0.77967966,0.54994994,2.3618484,0.8790887,2.7999432,2.79145
